score,tier,title,company,location,salary,posted,source,url,reasons,warnings
95,🟢 STRONG FIT,Senior Software Development Engineer in Test (SDET) - Ecommerce - LATAM,Truelogic,LATAM,,2026-07-12,Jobicy,https://jobicy.com/jobs/149180-senior-software-development-engineer-in-test-sdet-ecommerce-latam,"Title: Software Development Engineer in Test | Seniority: senior | Remote confirmed | Skills: Cypress, Playwright, Appium, JavaScript | Growth-stage company signals",Salary not listed | Post date unknown
92,🟢 STRONG FIT,"Lead SDET (Software Engineering Manager, Test Automation Lead)",Roche,"Carlsbad, CA",,2026-08-03,LinkedIn,https://www.linkedin.com/jobs/view/lead-sdet-software-engineering-manager-test-automation-lead-at-roche-4448145974,"Title: Lead SDET | Seniority: lead | Remote confirmed | Skills: test automation, SDET | Posted 3d ago ✓",Salary not listed
92,🟢 STRONG FIT,"Lead SDET (Software Engineering Manager, Test Automation Lead)",Roche Diagnostics France,"Carlsbad, CA",,2026-08-05,LinkedIn,https://www.linkedin.com/jobs/view/lead-sdet-software-engineering-manager-test-automation-lead-at-roche-diagnostics-france-4447335133,"Title: Lead SDET | Seniority: lead | Remote confirmed | Skills: test automation, SDET | Posted 1d ago ✓",Salary not listed
90,🟢 STRONG FIT,Software Development Engineer in Test,Sporty Group,EMEA,,2026-07-06,Jobicy,https://jobicy.com/jobs/145584-software-development-engineer-in-test,"Title: Software Development Engineer in Test | Seniority: senior | Remote confirmed | Skills: Cypress, Playwright, test automation, CI/CD",Salary not listed | Post date unknown
87,🟢 STRONG FIT,Senior SDET - GovTech Industry (Colombia),Truelogic,LATAM,,2026-07-14,Jobicy,https://jobicy.com/jobs/146269-senior-sdet-govtech-industry-colombia,"Title: Senior SDET | Seniority: senior | Remote confirmed | Skills: Playwright, CI/CD, SDET | Growth-stage company signals",Salary not listed | Post date unknown
87,🟢 STRONG FIT,"Senior SDET Lead – Playwright, Selenium & GenAI Testing",Cognizant,"Fort Mill, SC",,2026-08-02,LinkedIn,https://www.linkedin.com/jobs/view/senior-sdet-lead-%E2%80%93-playwright-selenium-genai-testing-at-cognizant-4447639623,"Title: SDET Lead | Seniority: senior | Remote confirmed | Skills: Playwright, Selenium, SDET | Posted 4d ago",Salary not listed
85,🟢 STRONG FIT,Quality Engineering Manager,Rise Technical,"Derby, CT",,2026-08-04,LinkedIn,https://www.linkedin.com/jobs/view/quality-engineering-manager-at-rise-technical-4446673498,Title: Quality Engineering Manager | Seniority: manager | Remote confirmed | Skill: quality engineering | Posted 2d ago ✓,Salary not listed
85,🟢 STRONG FIT,Plant Quality Engineering Manager,Stellantis,"Sterling Heights, MI",,2026-08-05,LinkedIn,https://www.linkedin.com/jobs/view/plant-quality-engineering-manager-at-stellantis-4422440419,Title: Quality Engineering Manager | Seniority: manager | Remote confirmed | Skill: quality engineering | Posted 1d ago ✓,Salary not listed
85,🟢 STRONG FIT,Quality Engineering Leader,Pursuit Aerospace,"Malden, MA",,2026-08-04,LinkedIn,https://www.linkedin.com/jobs/view/quality-engineering-leader-at-pursuit-aerospace-4448548782,Title: Quality Engineering Lead | Seniority: lead | Remote confirmed | Skill: quality engineering | Posted 2d ago ✓,Salary not listed
85,🟢 STRONG FIT,Plant Quality Engineering Lead,Stellantis,"Sterling Heights, MI",,2026-08-06,LinkedIn,https://www.linkedin.com/jobs/view/plant-quality-engineering-lead-at-stellantis-4422433444,Title: Quality Engineering Lead | Seniority: lead | Remote confirmed | Skill: quality engineering | Posted 0d ago ✓,Salary not listed
85,🟢 STRONG FIT,Quality Engineering Manager,Rise Technical,"Spring Grove, IL",,2026-08-05,LinkedIn,https://www.linkedin.com/jobs/view/quality-engineering-manager-at-rise-technical-4448019205,Title: Quality Engineering Manager | Seniority: manager | Remote confirmed | Skill: quality engineering | Posted 1d ago ✓,Salary not listed
85,🟢 STRONG FIT,Quality Engineering Manager,Precision Castparts,"Janesville, WI",,2026-08-05,LinkedIn,https://www.linkedin.com/jobs/view/quality-engineering-manager-at-precision-castparts-4440865577,Title: Quality Engineering Manager | Seniority: manager | Remote confirmed | Skill: quality engineering | Posted 1d ago ✓,Salary not listed
85,🟢 STRONG FIT,Quality Engineering Manager,Minnesota Manufacturing Recruiting,"Eden Prairie, MN",,2026-08-04,LinkedIn,https://www.linkedin.com/jobs/view/quality-engineering-manager-at-minnesota-manufacturing-recruiting-4449017715,Title: Quality Engineering Manager | Seniority: manager | Remote confirmed | Skill: quality engineering | Posted 2d ago ✓,Salary not listed
85,🟢 STRONG FIT,"Quality Engineering Manager - Oklahoma City, OK",Austin Allen Inc,"Oklahoma City, OK",,2026-08-05,LinkedIn,https://www.linkedin.com/jobs/view/quality-engineering-manager-oklahoma-city-ok-at-austin-allen-inc-4448919422,Title: Quality Engineering Manager | Seniority: manager | Remote confirmed | Skill: quality engineering | Posted 1d ago ✓,Salary not listed
85,🟢 STRONG FIT,Manufacturing and Quality Engineering Manager,Brunel,"Sioux Falls, SD",,2026-08-05,LinkedIn,https://www.linkedin.com/jobs/view/manufacturing-and-quality-engineering-manager-at-brunel-4449130800,Title: Quality Engineering Manager | Seniority: manager | Remote confirmed | Skill: quality engineering | Posted 1d ago ✓,Salary not listed
85,🟢 STRONG FIT,Quality Engineering Manager,ZealoTech People,"Escondido, CA",,2026-08-06,LinkedIn,https://www.linkedin.com/jobs/view/quality-engineering-manager-at-zealotech-people-4449749456,Title: Quality Engineering Manager | Seniority: manager | Remote confirmed | Skill: quality engineering | Posted 0d ago ✓,Salary not listed
85,🟢 STRONG FIT,Software Engineer Senior / Software Development Engineer in Test (Senior SDET),PNC,"Pittsburgh, PA",,2026-08-05,LinkedIn,https://www.linkedin.com/jobs/view/software-engineer-senior-software-development-engineer-in-test-senior-sdet-at-pnc-4447238596,Title: Software Development Engineer in Test | Seniority: senior | Remote confirmed | Skill: SDET | Posted 1d ago ✓,Salary not listed
80,🟢 STRONG FIT,Senior Quality Engineer,Eaton,"Greenwood, SC",,2026-08-06,LinkedIn,https://www.linkedin.com/jobs/view/senior-quality-engineer-at-eaton-4438093952,Title: Senior Quality Engineer | Seniority: senior | Remote confirmed | Posted 0d ago ✓,No specific skills mentioned in listing | Salary not listed
80,🟢 STRONG FIT,Senior Quality Engineer,Jabil,"Memphis, TN",,2026-08-04,LinkedIn,https://www.linkedin.com/jobs/view/senior-quality-engineer-at-jabil-4448247255,Title: Senior Quality Engineer | Seniority: senior | Remote confirmed | Posted 2d ago ✓,No specific skills mentioned in listing | Salary not listed
80,🟢 STRONG FIT,Senior Quality Engineer,Collins Aerospace,"Burnsville, MN",,2026-08-04,LinkedIn,https://www.linkedin.com/jobs/view/senior-quality-engineer-at-collins-aerospace-4448854141,Title: Senior Quality Engineer | Seniority: senior | Remote confirmed | Posted 2d ago ✓,No specific skills mentioned in listing | Salary not listed
80,🟢 STRONG FIT,Senior Quality Engineer,AMETEK,"San Diego, CA",,2026-08-04,LinkedIn,https://www.linkedin.com/jobs/view/senior-quality-engineer-at-ametek-4391745619,Title: Senior Quality Engineer | Seniority: senior | Remote confirmed | Posted 2d ago ✓,No specific skills mentioned in listing | Salary not listed
80,🟢 STRONG FIT,Senior Quality Engineer,Stryker,"Kalamazoo, MI",,2026-08-06,LinkedIn,https://www.linkedin.com/jobs/view/senior-quality-engineer-at-stryker-4413157490,Title: Senior Quality Engineer | Seniority: senior | Remote confirmed | Posted 0d ago ✓,No specific skills mentioned in listing | Salary not listed
80,🟢 STRONG FIT,Senior Quality Engineer,Fenner Precision Polymers,"Gaffney, SC",,2026-08-05,LinkedIn,https://www.linkedin.com/jobs/view/senior-quality-engineer-at-fenner-precision-polymers-4404119177,Title: Senior Quality Engineer | Seniority: senior | Remote confirmed | Posted 1d ago ✓,No specific skills mentioned in listing | Salary not listed
80,🟢 STRONG FIT,Senior Quality Engineer,"OneSource Technical, Inc.","Newbury, OH",,2026-08-04,LinkedIn,https://www.linkedin.com/jobs/view/senior-quality-engineer-at-onesource-technical-inc-4440786138,Title: Senior Quality Engineer | Seniority: senior | Remote confirmed | Posted 2d ago ✓,No specific skills mentioned in listing | Salary not listed
80,🟢 STRONG FIT,Senior Quality Engineer,Donaldson,"Bloomington, MN",,2026-08-06,LinkedIn,https://www.linkedin.com/jobs/view/senior-quality-engineer-at-donaldson-4414699922,Title: Senior Quality Engineer | Seniority: senior | Remote confirmed | Posted 0d ago ✓,No specific skills mentioned in listing | Salary not listed
80,🟢 STRONG FIT,Senior Quality Engineer,Boston Scientific,"Arden Hills, MN",,2026-08-03,LinkedIn,https://www.linkedin.com/jobs/view/senior-quality-engineer-at-boston-scientific-4448163839,Title: Senior Quality Engineer | Seniority: senior | Remote confirmed | Posted 3d ago ✓,No specific skills mentioned in listing | Salary not listed
80,🟢 STRONG FIT,"Senior Quality Engineer - Redmond, OR",Medline,"Redmond, OR",,2026-08-05,LinkedIn,https://www.linkedin.com/jobs/view/senior-quality-engineer-redmond-or-at-medline-4419226291,Title: Senior Quality Engineer | Seniority: senior | Remote confirmed | Posted 1d ago ✓,No specific skills mentioned in listing | Salary not listed
80,🟢 STRONG FIT,Senior Quality Engineer,SANMINA-SCI TECHNOLOGY INDIA PRIVATE LIMITED,"Fremont, CA",,2026-08-06,LinkedIn,https://www.linkedin.com/jobs/view/senior-quality-engineer-at-sanmina-sci-technology-india-private-limited-4448417102,Title: Senior Quality Engineer | Seniority: senior | Remote confirmed | Posted 0d ago ✓,No specific skills mentioned in listing | Salary not listed
80,🟢 STRONG FIT,Senior Quality Engineer,ITT Inc.,"Irvine, CA",,2026-08-03,LinkedIn,https://www.linkedin.com/jobs/view/senior-quality-engineer-at-itt-inc-4447977674,Title: Senior Quality Engineer | Seniority: senior | Remote confirmed | Posted 3d ago ✓,No specific skills mentioned in listing | Salary not listed
80,🟢 STRONG FIT,Senior Quality Engineer,W3Global,"Dallas, TX",,2026-08-06,LinkedIn,https://www.linkedin.com/jobs/view/senior-quality-engineer-at-w3global-4450633424,Title: Senior Quality Engineer | Seniority: senior | Remote confirmed | Posted 0d ago ✓,No specific skills mentioned in listing | Salary not listed
80,🟢 STRONG FIT,Senior Quality Engineer,AMETEK,"Bridgeport, CT",,2026-08-06,LinkedIn,https://www.linkedin.com/jobs/view/senior-quality-engineer-at-ametek-4279925508,Title: Senior Quality Engineer | Seniority: senior | Remote confirmed | Posted 0d ago ✓,No specific skills mentioned in listing | Salary not listed
80,🟢 STRONG FIT,Senior Quality Engineer,HarcoSemco,"Branford, CT",,2026-08-06,LinkedIn,https://www.linkedin.com/jobs/view/senior-quality-engineer-at-harcosemco-4450262450,Title: Senior Quality Engineer | Seniority: senior | Remote confirmed | Posted 0d ago ✓,No specific skills mentioned in listing | Salary not listed
80,🟢 STRONG FIT,Senior Quality Engineer,908 Devices,"Danbury, CT",,2026-08-04,LinkedIn,https://www.linkedin.com/jobs/view/senior-quality-engineer-at-908-devices-4433238889,Title: Senior Quality Engineer | Seniority: senior | Remote confirmed | Posted 2d ago ✓,No specific skills mentioned in listing | Salary not listed
80,🟢 STRONG FIT,Senior Quality Engineer,Elevaris Medical Devices,"Wilmington, MA",,2026-08-06,LinkedIn,https://www.linkedin.com/jobs/view/senior-quality-engineer-at-elevaris-medical-devices-4450616722,Title: Senior Quality Engineer | Seniority: senior | Remote confirmed | Posted 0d ago ✓,No specific skills mentioned in listing | Salary not listed
80,🟢 STRONG FIT,Senior Quality Engineer,EJ,"East Jordan, MI",,2026-08-05,LinkedIn,https://www.linkedin.com/jobs/view/senior-quality-engineer-at-ej-4449145086,Title: Senior Quality Engineer | Seniority: senior | Remote confirmed | Posted 1d ago ✓,No specific skills mentioned in listing | Salary not listed
80,🟢 STRONG FIT,Senior Quality Engineer,Generac,"Waukesha, WI",,2026-08-04,LinkedIn,https://www.linkedin.com/jobs/view/senior-quality-engineer-at-generac-4446616728,Title: Senior Quality Engineer | Seniority: senior | Remote confirmed | Posted 2d ago ✓,No specific skills mentioned in listing | Salary not listed
80,🟢 STRONG FIT,Senior Quality Engineer,Kenall Lighting,"Kenosha, WI",,2026-08-05,LinkedIn,https://www.linkedin.com/jobs/view/senior-quality-engineer-at-kenall-lighting-4449657671,Title: Senior Quality Engineer | Seniority: senior | Remote confirmed | Posted 1d ago ✓,No specific skills mentioned in listing | Salary not listed
80,🟢 STRONG FIT,Senior Quality Engineer - Minneapolis,Medtronic,"Minneapolis, MN",,2026-08-04,LinkedIn,https://www.linkedin.com/jobs/view/senior-quality-engineer-minneapolis-at-medtronic-4446379183,Title: Senior Quality Engineer | Seniority: senior | Remote confirmed | Posted 2d ago ✓,No specific skills mentioned in listing | Salary not listed
80,🟢 STRONG FIT,Senior Quality Engineer,EVONA,"Austin, TX",,2026-08-04,LinkedIn,https://www.linkedin.com/jobs/view/senior-quality-engineer-at-evona-4446695180,Title: Senior Quality Engineer | Seniority: senior | Remote confirmed | Posted 2d ago ✓,No specific skills mentioned in listing | Salary not listed
80,🟢 STRONG FIT,Senior Quality Engineer,EPM Scientific,"Minneapolis, MN",,2026-08-04,LinkedIn,https://www.linkedin.com/jobs/view/senior-quality-engineer-at-epm-scientific-4449073934,Title: Senior Quality Engineer | Seniority: senior | Remote confirmed | Posted 2d ago ✓,No specific skills mentioned in listing | Salary not listed
80,🟢 STRONG FIT,Senior Software Development Engineer in Test,Sony Interactive Entertainment,"San Mateo, CA",,2026-08-06,LinkedIn,https://www.linkedin.com/jobs/view/senior-software-development-engineer-in-test-at-sony-interactive-entertainment-4438406690,Title: Software Development Engineer in Test | Seniority: senior | Remote confirmed | Posted 0d ago ✓,No specific skills mentioned in listing | Salary not listed
80,🟢 STRONG FIT,Senior Quality Engineer,Qualia,"Austin, TX",,2026-08-04,LinkedIn,https://www.linkedin.com/jobs/view/senior-quality-engineer-at-qualia-4448586350,Title: Senior Quality Engineer | Seniority: senior | Remote confirmed | Posted 2d ago ✓,No specific skills mentioned in listing | Salary not listed
80,🟢 STRONG FIT,Senior SDET Engineer,T-Mobile,"Philadelphia, PA",,2026-07-31,LinkedIn,https://www.linkedin.com/jobs/view/senior-sdet-engineer-at-t-mobile-4446740576,Title: Senior SDET | Seniority: senior | Remote confirmed | Skill: SDET | Posted 6d ago,Salary not listed
80,🟢 STRONG FIT,Lead SDET,CGI,"Pittsburgh, PA",,2026-07-31,LinkedIn,https://www.linkedin.com/jobs/view/lead-sdet-at-cgi-4447255415,Title: Lead SDET | Seniority: lead | Remote confirmed | Skill: SDET | Posted 6d ago,Salary not listed
80,🟢 STRONG FIT,Senior Software Development Engineer in Test - Verification And Validation,Zoox,"Foster City, CA",,2026-08-03,LinkedIn,https://www.linkedin.com/jobs/view/senior-software-development-engineer-in-test-verification-and-validation-at-zoox-4391377989,Title: Software Development Engineer in Test | Seniority: senior | Remote confirmed | Posted 3d ago ✓,No specific skills mentioned in listing | Salary not listed
80,🟢 STRONG FIT,Senior Software Development Engineer in Test - SDET,NVIDIA,"Santa Clara, CA",,2026-08-01,LinkedIn,https://www.linkedin.com/jobs/view/senior-software-development-engineer-in-test-sdet-at-nvidia-4418874067,Title: Software Development Engineer in Test | Seniority: senior | Remote confirmed | Skill: SDET | Posted 5d ago,Salary not listed
80,🟢 STRONG FIT,Senior SDET Engineer,T-Mobile,"New York, NY",,2026-07-31,LinkedIn,https://www.linkedin.com/jobs/view/senior-sdet-engineer-at-t-mobile-4446742578,Title: Senior SDET | Seniority: senior | Remote confirmed | Skill: SDET | Posted 6d ago,Salary not listed
80,🟢 STRONG FIT,Senior Software Development Engineer in Test,Thomas To,"Santa Clara, CA",,2026-08-06,LinkedIn,https://www.linkedin.com/jobs/view/senior-software-development-engineer-in-test-at-thomas-to-4449942266,Title: Software Development Engineer in Test | Seniority: senior | Remote confirmed | Posted 0d ago ✓,No specific skills mentioned in listing | Salary not listed
80,🟢 STRONG FIT,Senior Software Development Engineer in Test,NVIDIA,"Santa Clara, CA",,2026-08-05,LinkedIn,https://www.linkedin.com/jobs/view/senior-software-development-engineer-in-test-at-nvidia-4423279913,Title: Software Development Engineer in Test | Seniority: senior | Remote confirmed | Posted 1d ago ✓,No specific skills mentioned in listing | Salary not listed
80,🟢 STRONG FIT,Senior Quality Engineer - Automation Engineering,Humana,"Minnesota, United States",,2026-08-05,LinkedIn,https://www.linkedin.com/jobs/view/senior-quality-engineer-automation-engineering-at-humana-4448945221,Title: Senior Quality Engineer | Seniority: senior | Remote confirmed | Posted 1d ago ✓,No specific skills mentioned in listing | Salary not listed
80,🟢 STRONG FIT,QUALITY ENGINEERING MANAGER,Smalley,"Lake Zurich, IL",,2026-08-01,LinkedIn,https://www.linkedin.com/jobs/view/quality-engineering-manager-at-smalley-4411682951,Title: Quality Engineering Manager | Seniority: manager | Remote confirmed | Skill: quality engineering | Posted 5d ago,Salary not listed
80,🟢 STRONG FIT,Quality Engineering Manager,Honeywell Technologies,"Boyne City, MI",,2026-08-01,LinkedIn,https://www.linkedin.com/jobs/view/quality-engineering-manager-at-honeywell-technologies-4447756977,Title: Quality Engineering Manager | Seniority: manager | Remote confirmed | Skill: quality engineering | Posted 5d ago,Salary not listed
80,🟢 STRONG FIT,Quality Engineering Manager,The Integration Group,"Marshalltown, IA",,2026-07-31,LinkedIn,https://www.linkedin.com/jobs/view/quality-engineering-manager-at-the-integration-group-4416426840,Title: Quality Engineering Manager | Seniority: manager | Remote confirmed | Skill: quality engineering | Posted 6d ago,Salary not listed
80,🟢 STRONG FIT,Senior Quality Engineer,Blue Ridge Optics,"Bedford, VA",,2026-08-04,LinkedIn,https://www.linkedin.com/jobs/view/senior-quality-engineer-at-blue-ridge-optics-4448890548,Title: Senior Quality Engineer | Seniority: senior | Remote confirmed | Posted 2d ago ✓,No specific skills mentioned in listing | Salary not listed
80,🟢 STRONG FIT,Senior Quality Engineer - Automation Engineering,Humana,"Kentucky, United States",,2026-08-05,LinkedIn,https://www.linkedin.com/jobs/view/senior-quality-engineer-automation-engineering-at-humana-4448940268,Title: Senior Quality Engineer | Seniority: senior | Remote confirmed | Posted 1d ago ✓,No specific skills mentioned in listing | Salary not listed
80,🟢 STRONG FIT,Senior Quality Engineer,YouVersion,"Edmond, OK",,2026-08-03,LinkedIn,https://www.linkedin.com/jobs/view/senior-quality-engineer-at-youversion-4411702442,Title: Senior Quality Engineer | Seniority: senior | Remote confirmed | Posted 3d ago ✓,No specific skills mentioned in listing | Salary not listed
80,🟢 STRONG FIT,Senior QE Engineer III,Deloitte,"San Diego, CA",,2026-08-06,LinkedIn,https://www.linkedin.com/jobs/view/senior-qe-engineer-iii-at-deloitte-4449942336,Title: Senior QE | Seniority: senior | Remote confirmed | Posted 0d ago ✓,No specific skills mentioned in listing | Salary not listed
80,🟢 STRONG FIT,General Engineer - Senior Quality Engineer,Air Force Civilian Service,"Layton, UT",,2026-08-03,LinkedIn,https://www.linkedin.com/jobs/view/general-engineer-senior-quality-engineer-at-air-force-civilian-service-4447992682,Title: Senior Quality Engineer | Seniority: senior | Remote confirmed | Posted 3d ago ✓,No specific skills mentioned in listing | Salary not listed
80,🟢 STRONG FIT,Senior Quality Engineer,Thales,"Irvine, CA",,2026-08-04,LinkedIn,https://www.linkedin.com/jobs/view/senior-quality-engineer-at-thales-4414535921,Title: Senior Quality Engineer | Seniority: senior | Remote confirmed | Posted 2d ago ✓,No specific skills mentioned in listing | Salary not listed
77,🟢 STRONG FIT,Quality Assurance Lead - SDET - Java/API Testing,PNC,"Pittsburgh, PA",,2026-08-05,LinkedIn,https://www.linkedin.com/jobs/view/quality-assurance-lead-sdet-java-api-testing-at-pnc-4449641641,"Partial title match | Seniority: lead | Remote confirmed | Skills: API testing, SDET | Posted 1d ago ✓",Salary not listed
75,🟢 STRONG FIT,Senior Software Quality Engineer (Mexico Remote),"Turnitin, LLC",Mexico,,2026-07-26,Jobicy,https://jobicy.com/jobs/147744-senior-software-quality-engineer-mexico-remote,"Partial title match | Seniority: senior | Remote confirmed | Skills: Playwright, CI/CD, Jenkins, Selenium",Salary not listed | Post date unknown
75,🟢 STRONG FIT,Senior Quality Assurance Automation Engineer,Experian,Costa Rica,,2026-07-24,Jobicy,https://jobicy.com/jobs/144474-senior-quality-assurance-automation-engineer,"Partial title match | Seniority: senior | Remote confirmed | Skills: JavaScript, test automation, Jenkins, Selenium",Salary not listed | Post date unknown
75,🟢 STRONG FIT,Senior Quality Engineer,LawnStarter,"LATAM,  Canada,  USA",,2026-07-24,Jobicy,https://jobicy.com/jobs/147511-senior-quality-engineer,Title: Senior Quality Engineer | Seniority: senior | Remote confirmed | Skill: Cypress,Salary not listed | Post date unknown
75,🟢 STRONG FIT,Senior Quality Engineer,Hitachi Energy,"Memphis, TN",,2026-08-01,LinkedIn,https://www.linkedin.com/jobs/view/senior-quality-engineer-at-hitachi-energy-4430979684,Title: Senior Quality Engineer | Seniority: senior | Remote confirmed | Posted 5d ago,No specific skills mentioned in listing | Salary not listed
75,🟢 STRONG FIT,Senior Quality Engineer,Hitachi Energy,"Alamo, TN",,2026-08-02,LinkedIn,https://www.linkedin.com/jobs/view/senior-quality-engineer-at-hitachi-energy-4430980679,Title: Senior Quality Engineer | Seniority: senior | Remote confirmed | Posted 4d ago,No specific skills mentioned in listing | Salary not listed
75,🟢 STRONG FIT,Senior Quality Engineer,Eaton,"Waukesha, WI",,2026-08-02,LinkedIn,https://www.linkedin.com/jobs/view/senior-quality-engineer-at-eaton-4379861726,Title: Senior Quality Engineer | Seniority: senior | Remote confirmed | Posted 4d ago,No specific skills mentioned in listing | Salary not listed
75,🟢 STRONG FIT,Senior Quality Engineer (2nd Shift),Abbott,"New Brighton, MN",,2026-07-31,LinkedIn,https://www.linkedin.com/jobs/view/senior-quality-engineer-2nd-shift-at-abbott-4447247911,Title: Senior Quality Engineer | Seniority: senior | Remote confirmed | Posted 6d ago,No specific skills mentioned in listing | Salary not listed
75,🟢 STRONG FIT,Senior Quality Engineer - Continuous Improvement,"Gilero, A Sanner Group Company","Durham, NC",,2026-07-31,LinkedIn,https://www.linkedin.com/jobs/view/senior-quality-engineer-continuous-improvement-at-gilero-a-sanner-group-company-4447189149,Title: Senior Quality Engineer | Seniority: senior | Remote confirmed | Posted 6d ago,No specific skills mentioned in listing | Salary not listed
75,🟢 STRONG FIT,Senior Quality Engineer (Onsite),Stryker,"Ventura, CA",,2026-07-31,LinkedIn,https://www.linkedin.com/jobs/view/senior-quality-engineer-onsite-at-stryker-4429628001,Title: Senior Quality Engineer | Seniority: senior | Remote confirmed | Posted 6d ago,No specific skills mentioned in listing | Salary not listed
75,🟢 STRONG FIT,Senior Quality Engineer,Acumed,"Hillsboro, OR",,2026-08-01,LinkedIn,https://www.linkedin.com/jobs/view/senior-quality-engineer-at-acumed-4411843553,Title: Senior Quality Engineer | Seniority: senior | Remote confirmed | Posted 5d ago,No specific skills mentioned in listing | Salary not listed
75,🟢 STRONG FIT,Senior Quality Engineer,Integra LifeSciences,"Mansfield, MA",,2026-07-31,LinkedIn,https://www.linkedin.com/jobs/view/senior-quality-engineer-at-integra-lifesciences-4438671364,Title: Senior Quality Engineer | Seniority: senior | Remote confirmed | Posted 6d ago,No specific skills mentioned in listing | Salary not listed
75,🟢 STRONG FIT,Senior Quality Engineer,Picarro,"Santa Clara, CA",,2026-08-01,LinkedIn,https://www.linkedin.com/jobs/view/senior-quality-engineer-at-picarro-4430718485,Title: Senior Quality Engineer | Seniority: senior | Remote confirmed | Posted 5d ago,No specific skills mentioned in listing | Salary not listed
75,🟢 STRONG FIT,Senior Quality Engineer (Sunday-Thursday),Cytiva,"Pensacola, FL",,2026-07-31,LinkedIn,https://www.linkedin.com/jobs/view/senior-quality-engineer-sunday-thursday-at-cytiva-4445530761,Title: Senior Quality Engineer | Seniority: senior | Remote confirmed | Posted 6d ago,No specific skills mentioned in listing | Salary not listed
75,🟢 STRONG FIT,Principal Quality Engineer,Hiscox,"Atlanta, GA",,2026-08-02,LinkedIn,https://www.linkedin.com/jobs/view/principal-quality-engineer-at-hiscox-4409982580,Title: Principal Quality Engineer | Seniority: principal | Remote confirmed | Posted 4d ago,No specific skills mentioned in listing | Salary not listed
75,🟢 STRONG FIT,Senior Quality Engineer,Danfoss,"Shawnee, OK",,2026-08-01,LinkedIn,https://www.linkedin.com/jobs/view/senior-quality-engineer-at-danfoss-4430918428,Title: Senior Quality Engineer | Seniority: senior | Remote confirmed | Posted 5d ago,No specific skills mentioned in listing | Salary not listed
75,🟢 STRONG FIT,Senior Quality Engineer,KAYAK,"Concord, MA",,2026-08-01,LinkedIn,https://www.linkedin.com/jobs/view/senior-quality-engineer-at-kayak-4447725708,Title: Senior Quality Engineer | Seniority: senior | Remote confirmed | Posted 5d ago,No specific skills mentioned in listing | Salary not listed
75,🟢 STRONG FIT,Senior Quality Engineer / Staff Engineer - Quality,Dart Container,"Mason, MI",,2026-07-31,LinkedIn,https://www.linkedin.com/jobs/view/senior-quality-engineer-staff-engineer-quality-at-dart-container-4437905769,Title: Senior Quality Engineer | Seniority: senior | Remote confirmed | Posted 6d ago,No specific skills mentioned in listing | Salary not listed
75,🟢 STRONG FIT,Senior Quality Engineer,Hitachi Energy,"Nashville, TN",,2026-08-01,LinkedIn,https://www.linkedin.com/jobs/view/senior-quality-engineer-at-hitachi-energy-4430974728,Title: Senior Quality Engineer | Seniority: senior | Remote confirmed | Posted 5d ago,No specific skills mentioned in listing | Salary not listed
70,🟡 GOOD FIT,Software Engineering Technical Leader- SDET,Cisco,"Milpitas, CA",,2026-08-06,LinkedIn,https://www.linkedin.com/jobs/view/software-engineering-technical-leader-sdet-at-cisco-4449983757,Partial title match | Seniority: lead | Remote confirmed | Skill: SDET | Posted 0d ago ✓,Salary not listed
70,🟡 GOOD FIT,Senior Software Engineer – Quality Engineering,ID.me,San Francisco Bay Area,,2026-08-03,LinkedIn,https://www.linkedin.com/jobs/view/senior-software-engineer-%E2%80%93-quality-engineering-at-id-me-4448384902,Partial title match | Seniority: senior | Remote confirmed | Skill: quality engineering | Posted 3d ago ✓,Salary not listed
70,🟡 GOOD FIT,"Manager, Quality Engineering (Automation)",Chipotle Mexican Grill,"Newport Beach, CA",,2026-08-06,LinkedIn,https://www.linkedin.com/jobs/view/manager-quality-engineering-automation-at-chipotle-mexican-grill-4450264793,Partial title match | Seniority: manager | Remote confirmed | Skill: quality engineering | Posted 0d ago ✓,Salary not listed
70,🟡 GOOD FIT,Quality Engineering Team Lead,Hydro-Gear,"Sullivan, IL",,2026-08-06,LinkedIn,https://www.linkedin.com/jobs/view/quality-engineering-team-lead-at-hydro-gear-4448061313,Partial title match | Seniority: lead | Remote confirmed | Skill: quality engineering | Posted 0d ago ✓,Salary not listed
70,🟡 GOOD FIT,"Manager, Supplier Quality Engineering",ZOLL Medical Corporation,"Deerfield, WI",,2026-08-05,LinkedIn,https://www.linkedin.com/jobs/view/manager-supplier-quality-engineering-at-zoll-medical-corporation-4439970346,Partial title match | Seniority: manager | Remote confirmed | Skill: quality engineering | Posted 1d ago ✓,Salary not listed
70,🟡 GOOD FIT,"Leader, Customer Quality Engineering",Cisco,"San Jose, CA",,2026-08-04,LinkedIn,https://www.linkedin.com/jobs/view/leader-customer-quality-engineering-at-cisco-4404065842,Partial title match | Seniority: lead | Remote confirmed | Skill: quality engineering | Posted 2d ago ✓,Salary not listed
70,🟡 GOOD FIT,"Senior Software Engineer, Test Automation",Molecular Devices,"Downingtown, PA",,2026-08-05,LinkedIn,https://www.linkedin.com/jobs/view/senior-software-engineer-test-automation-at-molecular-devices-4448046867,Partial title match | Seniority: senior | Remote confirmed | Skill: test automation | Posted 1d ago ✓,Salary not listed
